,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
80,21,주얼리,반지,MAHOGANI,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20201017/1653367/1653367_1_500.jpg?t=20201017181409
81,21,여성 가방,숄더백,OSTKAKA,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210907/2112253/2112253_29_500.jpg?t=20220906151555
82,21,신발,부츠,HAILEY,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210908/2116575/2116575_1_500.jpg?t=20210908150741
83,22,바지,슈트 팬츠/슬랙스,MEKAIV,,2021 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20210909/2118510/2118510_1_500.jpg?t=20210909115203
84,22,주얼리,목걸이/펜던트,PEARLY MORE,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210902/2106970/2106970_1_500.jpg?t=20220628163855
85,22,주얼리,목걸이/펜던트,J.GRACELET,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210805/2049700/2049700_1_500.jpg?t=20210805094804
86,22,여성 가방,숄더백,CHRISTINE PROJECT,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210915/2132329/2132329_1_500.jpg?t=20210915113125
87,22,신발,부츠,CESTI,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210916/2136518/2136518_1_500.jpg?t=20210917151949
88,23,모자,버킷/사파리햇,XTONZ,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210716/2031457/2031457_1_500.jpg?t=20210716115226
89,23,주얼리,목걸이/펜던트,SEASHEER,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210712/2026985/2026985_1_500.jpg?t=20210712163151
90,23,신발,슬리퍼,CESTI,,2021 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20210622/2005140/2005140_1_500.jpg?t=20210623135336
91,24,스니커즈,캔버스/단화,ADIDAS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20150820/239023/239023_1_500.jpg?t=20190129174929
92,25,주얼리,귀걸이,MY BOO,,2020 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20200429/1428295/1428295_1_500.jpg?t=20200429155118
93,26,아우터,슈트/블레이저 재킷,MATIN KIM,,2022 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20220812/2715613/2715613_1_500.jpg?t=20220819154622
94,26,상의,반소매 티셔츠,MATIN KIM,,2022 F/W,여,,,,,https://image.msscdn.net/images/goods_img/20220812/2715604/2715604_1_500.jpg?t=20220819155426
95,26,모자,비니,MATIN KIM,,2022 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20220812/2715565/2715565_1_500.jpg?t=20220819160834
96,26,여성 가방,숄더백,MATIN KIM,,2022 ALL,여,,,,,https://image.msscdn.net/images/goods_img/20220812/2715575/2715575_1_500.jpg?t=20220819160131
