,cody_id,clothes_maincategory,clothes_subcategorry,brand,color,season,gender,spring,summer,autumn,winter,img
57,11,상의,셔츠/블라우스,MELANGE MASTER,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220118/2312252/2312252_2_500.jpg?t=20220421163108
58,11,바지,트레이닝/조거 팬츠,UNIFORM BRIDGE,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220217/2367456/2367456_1_500.jpg?t=20220223232808
59,11,모자,캡/야구 모자,AKAW,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220413/2486212/2486212_2_500.jpg?t=20220509140744
60,11,시계,쿼츠 아날로그,JULIUS1,,2020 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200903/1581393/1581393_1_500.jpg?t=20200903104416
61,11,가방,메신저/크로스 백,CNN APPAREL,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220310/2409839/2409839_1_500.jpg?t=20220310161455
62,11,스니커즈,패션스니커즈화,BRANS,,ALL ALL,남,,,,,https://image.msscdn.net/images/goods_img/20201218/1726086/1726086_2_500.jpg?t=20210728154237
63,12,상의,반소매 티셔츠,MELANGE MASTER,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220419/2500339/2500339_2_500.jpg?t=20220421161807
64,12,상의,민소매 티셔츠,MINIMALCODE,,ALL S/S,남,,,,,https://image.msscdn.net/images/goods_img/20210528/1973523/1973523_1_500.jpg?t=20210528143225
65,12,바지,데님 팬츠,GLW,,2021 F/W,남 여,,,,,https://image.msscdn.net/images/goods_img/20210818/2068581/2068581_3_500.jpg?t=20210924104539
66,12,모자,캡/야구 모자,AKAW,,2022 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20220413/2486287/2486287_2_500.jpg?t=20220509140943
67,12,디지털/테크,헤드폰,MARSHALL,,2021 ALL,라이프,,,,,https://image.msscdn.net/images/goods_img/20210415/1900555/1900555_1_500.png?t=20210415141400
68,12,시계,쿼츠 아날로그,JULIUS1,,2021 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20210525/1966084/1966084_1_500.jpg?t=20210525134914
69,12,가방,숄더백,MAZI UNTITLED,,2020 ALL,남,,,,,https://image.msscdn.net/images/goods_img/20200724/1526705/1526705_3_500.jpg?t=20211125125800
70,12,신발,구두,DR.MARTENS,,ALL,남 여,,,,,https://image.msscdn.net/images/goods_img/20180201/706935/706935_4_500.jpg?t=20220623095306
71,13,상의,셔츠/블라우스,BEARDED KID,,2022 S/S,남,,,,,https://image.msscdn.net/images/goods_img/20220211/2354283/2354283_2_500.jpg?t=20220524100910
72,14,아우터,무스탕/퍼,URBANSTOFF,,0,남,,,,,https://image.msscdn.net/images/goods_img/20161122/451441/451441_1_500.jpg?t=20161122113626
